Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
12540000	-2190.747468	45	0.220469	0.124142	0.288958	0.296969	0.111174	0.151751	0.137491	0.067860	0.250000	0.250000	0.250000	0.250000	3.486756	0.114290	2.036065	0.169579	5.952811	0.052670	0.189932	5.254764	0.243229	3.655759	0.531232	1.441804	0.249256	4.491057	1.975300	0.265123	
12570000	-2188.529383	45	0.175355	0.128268	0.325225	0.374185	0.100002	0.164541	0.147706	0.054867	0.250000	0.250000	0.250000	0.250000	3.486756	0.114290	2.036065	0.169579	5.952811	0.052670	0.189932	5.254764	0.243229	3.655759	0.531232	1.441804	0.249256	4.491057	1.975300	0.265123	
12600000	-2190.139547	45	0.199790	0.135139	0.321093	0.330178	0.079342	0.110430	0.132256	0.054225	0.250000	0.250000	0.250000	0.250000	1.042000	1.086018	1.310439	2.252880	0.773457	0.871240	1.173496	1.363835	0.432706	7.490749	2.336575	3.426721	0.164099	1.854608	0.693877	0.240908	
12630000	-2189.431757	45	0.165159	0.119778	0.279778	0.379783	0.084950	0.167776	0.143300	0.054955	0.250000	0.250000	0.250000	0.250000	6.945740	0.028228	0.726144	2.866845	0.224031	6.246847	2.896145	2.822160	0.497762	2.954666	0.179304	5.979626	1.023781	1.205739	1.382104	2.517570	
12660000	-2189.157828	45	0.172612	0.127290	0.258708	0.408679	0.087601	0.166183	0.165970	0.077155	0.250000	0.250000	0.250000	0.250000	1.902925	0.104639	1.175177	1.027593	1.057312	0.839090	1.145587	0.676756	1.844490	0.057776	0.327977	1.297684	1.560202	2.261559	0.571898	1.383513	
12690000	-2192.175761	45	0.233376	0.128512	0.497570	0.307022	0.099528	0.142290	0.109876	0.051698	0.250000	0.250000	0.250000	0.250000	2.749181	0.101089	6.598642	0.013988	2.319677	1.992986	0.668009	8.332386	1.091321	1.088883	1.144720	0.878186	0.145884	4.157639	2.309855	0.135030	
12720000	-2188.383525	45	0.153748	0.136302	0.291575	0.315893	0.086047	0.155846	0.135213	0.074111	0.250000	0.250000	0.250000	0.250000	2.342205	0.286551	8.802371	0.048105	5.100497	0.216725	1.686575	6.358208	1.352596	0.652026	3.702201	0.058722	0.797121	1.862093	1.301520	1.864026	
12750000	-2190.258721	45	0.169711	0.136234	0.273344	0.282175	0.110652	0.184912	0.114826	0.064673	0.250000	0.250000	0.250000	0.250000	0.545966	2.392641	0.325949	2.234903	2.631185	0.764394	0.644450	1.555243	4.730596	0.035002	0.598893	0.950934	0.532279	0.158953	0.619907	3.118240	
12780000	-2191.737858	45	0.162793	0.151689	0.277662	0.246577	0.108441	0.146070	0.116227	0.035867	0.250000	0.250000	0.250000	0.250000	1.376709	0.405425	1.580969	0.580558	1.493119	0.472387	0.865302	3.397428	0.815986	0.187558	0.283589	0.860110	0.485403	3.310958	0.161494	4.979923	
12810000	-2188.972792	45	0.163751	0.124298	0.251857	0.268318	0.103390	0.159871	0.106389	0.071279	0.250000	0.250000	0.250000	0.250000	0.135214	0.763877	0.346073	2.275110	0.738624	0.811230	0.862982	0.852160	0.494281	4.574269	0.650024	0.978580	1.673210	0.746112	0.373935	0.949737	
12840000	-2192.141231	45	0.229959	0.129763	0.471497	0.271104	0.115881	0.161358	0.128462	0.068829	0.250000	0.250000	0.250000	0.250000	1.190887	1.557310	5.120527	0.046483	1.586744	1.002790	0.423080	1.654740	0.145448	2.141601	0.757308	0.638873	1.190168	0.389340	0.563200	7.245722	
12870000	-2188.026063	45	0.177780	0.139428	0.318999	0.368064	0.102486	0.140690	0.141331	0.048945	0.250000	0.250000	0.250000	0.250000	1.864233	0.172727	0.346732	2.310690	1.179682	6.572075	1.709479	1.809175	0.577430	6.904016	3.280400	0.060302	0.821802	0.485825	0.162824	5.722499	
12900000	-2189.895036	45	0.185346	0.144164	0.298803	0.421955	0.098385	0.144650	0.191194	0.050491	0.250000	0.250000	0.250000	0.250000	0.353550	0.242853	0.579752	6.871178	0.369760	2.416251	0.681934	1.488197	0.280704	6.141866	0.667166	0.957463	7.662438	0.026672	0.639157	1.508558	
12930000	-2190.981541	45	0.220066	0.119512	0.367610	0.415531	0.089888	0.122374	0.148184	0.070780	0.250000	0.250000	0.250000	0.250000	0.408272	6.005349	0.659964	2.877847	0.110638	6.239840	0.549034	9.874665	1.146601	0.880809	2.554946	0.050316	1.091854	0.433991	0.505985	0.946343	
12960000	-2193.988437	45	0.142630	0.106891	0.237226	0.298562	0.096087	0.103542	0.138663	0.059461	0.250000	0.250000	0.250000	0.250000	1.017244	0.689716	0.408971	7.237796	1.706213	0.674750	0.308852	3.358409	0.377535	2.964250	1.100304	8.401166	0.648172	1.707598	0.327941	1.504734	
12990000	-2189.999842	45	0.167998	0.131309	0.281374	0.349719	0.140328	0.148222	0.134415	0.066899	0.250000	0.250000	0.250000	0.250000	3.306138	0.074722	0.621198	8.534522	0.907285	0.932181	6.074091	0.060085	0.581095	0.304407	1.005350	7.854978	0.385115	0.497491	0.323447	5.879098	
13020000	-2191.601214	45	0.197621	0.139706	0.361215	0.342245	0.108303	0.174165	0.149868	0.088483	0.250000	0.250000	0.250000	0.250000	0.318310	6.013314	2.929094	0.655970	0.845488	4.454959	0.938913	8.292899	1.252655	8.666541	2.102014	0.382256	0.611225	1.969617	0.809863	1.650288	
13050000	-2191.277325	45	0.188757	0.138617	0.221247	0.398706	0.120959	0.129117	0.131773	0.080763	0.250000	0.250000	0.250000	0.250000	0.928580	0.294360	0.453239	5.781884	0.840252	4.530881	0.279601	4.995525	2.532970	0.134118	0.471064	1.927079	1.219316	5.358906	3.506463	0.045749	
13080000	-2189.508606	45	0.180084	0.119090	0.295526	0.328470	0.089676	0.138229	0.108585	0.054124	0.250000	0.250000	0.250000	0.250000	4.038537	0.025152	0.632432	3.655703	0.320653	1.674587	1.395792	0.686314	1.478611	0.173334	0.714129	7.996546	0.748517	1.513771	0.225820	7.154964	
13110000	-2187.595178	45	0.176154	0.130956	0.287664	0.358623	0.100373	0.139670	0.140944	0.074450	0.250000	0.250000	0.250000	0.250000	2.613117	0.055568	0.349985	0.158543	0.511958	2.310105	0.963629	1.584302	0.254363	6.807628	0.286854	4.783849	0.760151	1.704475	0.073255	5.717193	
13140000	-2190.784202	45	0.204684	0.153101	0.310867	0.323193	0.109532	0.146794	0.150140	0.079130	0.250000	0.250000	0.250000	0.250000	0.183540	7.587656	0.269471	9.329611	0.650421	9.403639	3.190842	0.120653	0.091405	7.967073	1.255339	3.902492	0.464976	1.976803	0.227481	2.111469	
13170000	-2190.933570	45	0.210494	0.111316	0.326724	0.285086	0.077247	0.154828	0.109773	0.074163	0.250000	0.250000	0.250000	0.250000	3.145199	0.112210	0.390274	3.067896	0.173769	9.057638	2.213446	0.991848	0.607444	1.115158	0.285354	4.187021	0.187771	1.868696	1.315898	0.468187	
13200000	-2189.602347	45	0.154976	0.127393	0.266059	0.287277	0.081114	0.127531	0.112640	0.064603	0.250000	0.250000	0.250000	0.250000	0.524160	0.633600	0.209480	1.482255	0.670981	0.881726	0.079725	9.845200	0.823581	1.651843	0.452632	9.668319	4.627354	0.278827	0.139432	1.657413	
13230000	-2188.303496	45	0.160709	0.154385	0.313168	0.315862	0.106801	0.136868	0.133999	0.051368	0.250000	0.250000	0.250000	0.250000	1.973264	0.420053	0.413592	2.181608	1.104289	0.615846	0.852901	5.282390	0.610576	2.100957	0.956653	0.919221	1.188627	0.928720	0.517388	3.557922	
13260000	-2189.052046	45	0.158399	0.113051	0.300466	0.292123	0.098402	0.134637	0.124845	0.067289	0.250000	0.250000	0.250000	0.250000	2.147585	0.141903	0.431406	6.392231	0.530008	0.708927	0.942531	0.699495	6.023382	0.022990	0.894531	3.819096	0.493479	5.111825	0.370212	5.916705	
13290000	-2189.127586	45	0.188705	0.112144	0.312450	0.423665	0.098749	0.147722	0.153815	0.074402	0.250000	0.250000	0.250000	0.250000	0.239061	6.163803	0.667861	2.607072	2.602700	2.031951	1.993702	0.638509	0.830895	0.652851	0.933581	5.151134	1.102963	5.610136	1.067792	4.642773	
13320000	-2192.865314	45	0.181838	0.143707	0.330639	0.415190	0.095689	0.107443	0.135332	0.059025	0.250000	0.250000	0.250000	0.250000	2.582841	0.075679	0.117544	1.406418	5.338865	0.090841	1.239439	1.564915	0.276609	2.373340	0.286121	1.193707	1.402097	8.811586	0.181075	5.265777	
13350000	-2191.089408	45	0.181095	0.110346	0.299159	0.378704	0.073514	0.168479	0.130525	0.078027	0.250000	0.250000	0.250000	0.250000	0.569798	8.526648	1.767348	2.397456	0.363416	1.680800	2.333800	1.688288	0.602441	3.628778	1.029269	4.560713	0.676827	7.937670	0.650455	8.193806	
13380000	-2191.274834	45	0.230019	0.124039	0.358286	0.262692	0.114271	0.115662	0.128029	0.055545	0.250000	0.250000	0.250000	0.250000	0.912183	0.191756	0.354140	2.061780	3.536065	2.508199	1.402716	0.517992	0.431749	5.689474	1.443352	5.785879	1.667564	0.810314	0.329632	5.752410	
13410000	-2192.552041	45	0.174339	0.101694	0.311092	0.257097	0.082582	0.129392	0.109398	0.077594	0.250000	0.250000	0.250000	0.250000	0.891519	0.668595	2.674273	0.019296	2.143093	0.463994	1.189986	1.386344	1.463846	5.653990	0.155093	1.521871	0.590444	1.499308	0.046294	9.457544	
13440000	-2190.948993	45	0.167415	0.108709	0.234642	0.424411	0.082658	0.137939	0.160718	0.050455	0.250000	0.250000	0.250000	0.250000	0.490755	2.970864	1.146256	1.116647	0.228929	8.456097	1.657511	1.597557	0.371717	4.735232	2.119424	0.181547	0.395069	2.774197	0.456065	4.208489	
13470000	-2189.756220	45	0.149005	0.127486	0.210676	0.354445	0.083892	0.158185	0.163905	0.061707	0.250000	0.250000	0.250000	0.250000	0.633958	1.705668	1.312666	4.898897	2.075589	0.163817	0.362869	4.610616	0.928493	0.569766	0.811702	1.277357	3.683785	0.037862	0.211956	6.574659	
13500000	-2191.720542	45	0.170356	0.131016	0.251042	0.313747	0.115204	0.196790	0.139688	0.075130	0.250000	0.250000	0.250000	0.250000	0.128983	3.135796	0.063964	4.206327	3.410971	3.297896	0.484607	4.022994	1.757346	4.216912	1.251518	0.326103	0.816003	6.572915	1.068795	3.638694	
13530000	-2191.226555	45	0.192467	0.126918	0.288406	0.422015	0.096393	0.129884	0.204300	0.056948	0.250000	0.250000	0.250000	0.250000	0.743194	1.006213	0.519209	3.247646	4.753311	0.050658	4.927363	0.174719	1.110184	1.573888	2.359935	0.025059	1.583947	0.586052	0.400721	1.912901	
13560000	-2189.942303	45	0.221353	0.141183	0.402324	0.340409	0.096614	0.129597	0.167209	0.044199	0.250000	0.250000	0.250000	0.250000	0.343223	3.666092	0.419759	8.630418	0.976828	7.962413	0.959174	4.852277	0.177053	8.423436	0.328457	8.274812	0.478914	3.206540	0.342382	3.623207	
13590000	-2189.052757	45	0.161675	0.147492	0.246222	0.267586	0.099458	0.144049	0.111085	0.056266	0.250000	0.250000	0.250000	0.250000	1.660143	2.181201	2.306970	0.174626	1.076198	1.558591	3.188537	0.097269	0.266877	5.642793	0.483567	9.763336	0.748510	5.504028	0.353066	8.243290	
13620000	-2189.171423	45	0.200092	0.157581	0.368639	0.344097	0.108736	0.149746	0.135918	0.062265	0.250000	0.250000	0.250000	0.250000	1.730456	0.186403	0.872135	3.491452	1.093888	0.507726	0.417069	7.913061	0.294809	1.327420	0.908932	1.816482	0.771779	0.067078	0.018233	7.590270	
13650000	-2189.919992	45	0.181205	0.128225	0.316585	0.267452	0.109185	0.111850	0.113061	0.065847	0.250000	0.250000	0.250000	0.250000	1.734801	0.300991	1.845565	0.085091	1.169022	7.240757	5.703199	0.176798	0.183226	9.557853	0.602117	1.886051	1.763812	0.209699	0.619256	2.222636	
13680000	-2192.208863	45	0.222148	0.155653	0.378363	0.299689	0.123477	0.173576	0.127607	0.077079	0.250000	0.250000	0.250000	0.250000	0.488410	2.787075	0.136568	4.606337	1.416273	1.248261	0.165655	8.552554	0.295388	7.059480	0.182800	3.768906	0.635515	0.742848	0.411359	0.527508	
13710000	-2188.431546	45	0.166413	0.134774	0.294257	0.314887	0.093044	0.128001	0.148860	0.068230	0.250000	0.250000	0.250000	0.250000	0.992599	2.407444	0.585326	1.237631	1.389213	1.280943	0.869572	2.822370	1.322747	0.246353	0.763576	6.976883	0.939523	0.303248	0.408018	1.089932	
13740000	-2191.650590	45	0.177860	0.094864	0.269168	0.304581	0.091443	0.133042	0.139791	0.076809	0.250000	0.250000	0.250000	0.250000	0.347706	9.767410	0.361632	2.414124	1.307764	1.265730	0.856079	6.157624	0.466471	0.430198	0.518131	8.587231	0.705342	9.152721	0.200112	3.470637	
13770000	-2191.507322	45	0.185917	0.126166	0.263412	0.345694	0.117557	0.160711	0.103313	0.080850	0.250000	0.250000	0.250000	0.250000	0.038516	4.961350	1.970378	0.358029	3.468556	0.249731	0.842466	0.701526	0.385273	1.892162	2.127239	0.121090	0.665011	1.069241	0.280796	5.050107	
13800000	-2191.457210	45	0.201786	0.134582	0.398844	0.379509	0.108886	0.154386	0.127098	0.075210	0.250000	0.250000	0.250000	0.250000	2.850339	0.088240	0.395900	4.403763	0.994030	5.284195	0.120663	1.933755	0.346093	7.564185	0.609368	3.909640	0.292923	0.175859	0.369610	9.343613	
13830000	-2188.869740	45	0.148016	0.141109	0.310421	0.323497	0.092850	0.173658	0.146574	0.051992	0.250000	0.250000	0.250000	0.250000	2.867491	0.951255	0.676350	1.198634	5.365521	0.096512	1.902473	0.435496	0.445888	7.505140	0.473450	5.283065	0.583880	2.556649	0.282809	7.697144	
13860000	-2187.216334	45	0.183017	0.133603	0.279897	0.290615	0.096713	0.153176	0.122075	0.064954	0.250000	0.250000	0.250000	0.250000	0.508132	1.894757	0.379076	5.970642	0.567421	1.476451	1.132282	0.707215	0.697600	0.674605	0.374421	8.541359	2.487748	0.052171	0.139002	1.296083	
13890000	-2189.034086	45	0.200383	0.127647	0.297736	0.413056	0.110803	0.147603	0.154801	0.073832	0.250000	0.250000	0.250000	0.250000	1.474104	0.340178	4.436496	0.027993	1.476033	0.219220	1.147146	7.398377	2.115951	0.306095	0.822018	0.782912	0.820926	8.724847	0.532635	1.190259	
13920000	-2191.190025	45	0.217323	0.128085	0.395766	0.308870	0.128167	0.117965	0.116840	0.048724	0.250000	0.250000	0.250000	0.250000	0.089253	5.748054	0.147696	2.176729	1.132779	1.090798	1.553457	8.342230	0.464013	5.971859	0.498205	1.591906	6.228904	0.047702	0.110515	1.129787	
13950000	-2191.498910	45	0.201830	0.164230	0.367709	0.361462	0.128328	0.148708	0.170093	0.060036	0.250000	0.250000	0.250000	0.250000	1.449652	0.144563	0.135291	7.141520	1.572286	4.927976	0.319274	1.269697	4.864511	0.072929	0.440964	1.375029	2.239078	0.132517	0.370498	2.044553	
13980000	-2191.629955	45	0.166188	0.162045	0.258290	0.395704	0.114196	0.138448	0.145864	0.074986	0.250000	0.250000	0.250000	0.250000	0.987754	4.083654	0.705952	0.741235	3.314123	0.097094	1.251622	1.498490	2.364611	0.102905	0.079324	3.184689	3.306117	0.052258	0.636006	8.398365	
14010000	-2189.943015	45	0.163866	0.150740	0.309384	0.298568	0.109775	0.181222	0.127807	0.052761	0.250000	0.250000	0.250000	0.250000	6.668489	0.028472	0.897928	8.290102	0.608816	2.851054	3.456358	0.100932	0.803750	0.495475	0.487949	3.118180	0.615825	2.519250	0.104079	5.155983	
14040000	-2193.389704	45	0.184758	0.160252	0.370149	0.277876	0.152942	0.153690	0.129267	0.071615	0.250000	0.250000	0.250000	0.250000	6.668489	0.028472	0.897928	8.290102	0.608816	2.851054	3.456358	0.100932	0.803750	0.495475	0.487949	3.118180	0.615825	2.519250	0.104079	5.155983	
14070000	-2193.321338	45	0.162029	0.108889	0.194851	0.331234	0.109390	0.142838	0.160497	0.089215	0.250000	0.250000	0.250000	0.250000	6.668489	0.028472	0.897928	8.290102	0.608816	2.851054	3.456358	0.100932	0.803750	0.495475	0.487949	3.118180	0.615825	2.519250	0.104079	5.155983	
14100000	-2190.946549	45	0.194234	0.108652	0.279333	0.293349	0.100383	0.142372	0.152020	0.069275	0.250000	0.250000	0.250000	0.250000	5.097090	0.033525	0.759029	6.280660	0.221514	2.351563	1.125727	0.434252	0.163137	0.275029	0.923431	2.045395	0.292452	3.129000	0.158195	9.820046	
14130000	-2190.298793	45	0.151891	0.120187	0.296004	0.370296	0.101281	0.148483	0.160405	0.047006	0.250000	0.250000	0.250000	0.250000	6.910586	0.027827	0.361991	5.927807	1.354038	0.660271	1.708044	0.953972	0.135381	0.371989	0.314192	1.687752	2.049764	0.103692	0.861014	7.893544	
14160000	-2191.326009	45	0.136716	0.137244	0.236872	0.284079	0.125087	0.170219	0.125544	0.064549	0.250000	0.250000	0.250000	0.250000	1.021493	0.220128	0.266495	2.508251	2.337522	0.278469	2.575474	0.262526	0.354003	2.661447	0.070449	2.470540	1.107176	1.713342	0.188751	5.553753	
14190000	-2190.961353	45	0.153341	0.116559	0.272426	0.350710	0.121983	0.162552	0.134875	0.080241	0.250000	0.250000	0.250000	0.250000	1.554900	3.429444	0.299494	1.628064	0.560498	2.356552	0.907654	1.926603	4.505478	0.050445	2.027802	0.478165	0.168848	2.513761	0.739349	2.131876	
14220000	-2189.906055	45	0.160881	0.144674	0.295769	0.377062	0.116320	0.118026	0.144084	0.061080	0.250000	0.250000	0.250000	0.250000	0.209235	5.833251	0.185095	4.219846	1.026251	1.170297	2.666738	0.225658	0.693278	0.418632	4.777573	0.108622	3.169397	0.083585	0.958141	0.914175	
14250000	-2190.604410	45	0.212283	0.128407	0.294569	0.404226	0.128526	0.123332	0.132116	0.061909	0.250000	0.250000	0.250000	0.250000	0.405159	5.580501	0.529728	0.793633	4.580921	0.208051	1.385798	0.228940	0.814203	1.357253	2.025294	0.495661	5.265581	0.058209	0.493464	3.531114	
14280000	-2189.416373	45	0.192536	0.118133	0.392428	0.323857	0.089633	0.121962	0.126719	0.048396	0.250000	0.250000	0.250000	0.250000	5.019685	0.019676	0.193803	1.610169	0.510132	0.256693	1.772583	3.291840	0.458519	1.897132	0.735046	0.182612	2.177101	5.102762	2.538889	0.035141	
14310000	-2190.453144	45	0.179481	0.153186	0.285575	0.341155	0.104591	0.122822	0.118092	0.052632	0.250000	0.250000	0.250000	0.250000	0.341899	4.790261	0.531263	6.955555	0.533964	9.155442	2.102206	0.108890	1.418738	0.408020	1.261404	3.860538	0.780985	0.502155	1.072649	5.535963	
14340000	-2188.744642	45	0.196151	0.131471	0.361474	0.366315	0.095658	0.123158	0.166163	0.049292	0.250000	0.250000	0.250000	0.250000	0.612776	9.505614	1.138410	3.066030	1.413947	0.506722	0.935915	0.503092	0.894570	0.232172	0.678154	8.817763	0.567963	1.146509	0.323280	8.754871	
14370000	-2198.253973	45	0.183743	0.163123	0.306059	0.364902	0.142241	0.157271	0.168377	0.030609	0.250000	0.250000	0.250000	0.250000	0.945168	1.336355	1.118709	1.678946	0.660934	4.240541	1.193016	0.542371	3.943530	0.069123	0.172077	7.980096	0.993881	8.865264	0.123539	3.575661	
14400000	-2191.699856	45	0.224408	0.111051	0.329497	0.294398	0.107726	0.152873	0.117170	0.056232	0.250000	0.250000	0.250000	0.250000	0.155238	9.191651	1.092415	1.347607	0.454720	3.119331	0.360476	2.791719	1.361446	0.238099	0.877099	1.317332	0.074284	5.661619	1.587010	0.098110	
14430000	-2190.013463	45	0.162793	0.127352	0.264418	0.284630	0.115851	0.113697	0.127422	0.050392	0.250000	0.250000	0.250000	0.250000	0.668254	6.781126	0.520229	0.717557	0.341129	0.608823	2.624833	0.235778	1.279117	7.787299	0.382043	2.869892	0.934162	5.597207	1.044703	6.875014	
14460000	-2192.478633	45	0.211605	0.153245	0.409542	0.391486	0.095358	0.111629	0.153316	0.054852	0.250000	0.250000	0.250000	0.250000	0.657674	4.466478	0.412077	4.312597	3.378674	0.822800	1.352640	2.970192	0.515419	3.702837	0.506052	9.218122	1.382599	0.365435	0.542784	1.670371	
14490000	-2189.198266	45	0.182912	0.120835	0.321327	0.250187	0.098427	0.154543	0.132285	0.050349	0.250000	0.250000	0.250000	0.250000	0.835398	5.759386	0.531378	1.890382	2.782455	0.079711	0.969186	3.875262	0.611922	3.270404	0.479781	1.339878	0.406857	5.934807	3.221613	0.018191	
14520000	-2194.033422	45	0.156944	0.132241	0.417328	0.237327	0.098142	0.164409	0.120073	0.037951	0.250000	0.250000	0.250000	0.250000	0.413053	3.675487	1.113509	5.139221	1.780761	0.315434	2.815946	0.066540	0.338857	4.311281	2.118045	0.379981	0.654415	5.375001	0.697737	6.243258	
14550000	-2189.656509	45	0.158355	0.117144	0.268743	0.415680	0.115405	0.129035	0.153485	0.070828	0.250000	0.250000	0.250000	0.250000	0.926841	2.709925	2.006139	0.051314	0.827694	1.817605	0.094990	1.063191	0.631122	2.809981	0.655772	3.811652	1.200056	1.539478	1.062916	1.709866	
14580000	-2190.361569	45	0.175981	0.142378	0.286453	0.340311	0.121652	0.128965	0.149298	0.080171	0.250000	0.250000	0.250000	0.250000	2.487366	0.115212	1.731015	0.150273	0.888484	5.664297	0.053555	0.783415	0.697029	1.871954	0.276014	4.671705	1.999564	0.059039	0.193192	7.117143	
14610000	-2191.253217	45	0.148692	0.118530	0.267402	0.436805	0.093929	0.157419	0.141091	0.064437	0.250000	0.250000	0.250000	0.250000	6.006212	0.036241	0.722040	3.160048	1.493621	4.991191	1.494833	4.160847	0.765831	0.276419	1.516205	0.727631	1.122550	0.219720	0.273482	7.600168	
14640000	-2193.394814	45	0.225230	0.148511	0.443484	0.241163	0.103546	0.142268	0.103618	0.033153	0.250000	0.250000	0.250000	0.250000	7.853283	0.032610	0.600010	7.707539	1.138701	5.121577	0.658495	6.384988	0.337070	1.723873	0.693913	1.377085	0.998056	0.397311	0.221167	7.084182	
14670000	-2187.110970	45	0.173279	0.132080	0.282629	0.352387	0.104348	0.142409	0.132034	0.061264	0.250000	0.250000	0.250000	0.250000	9.570418	0.017285	0.272878	8.685394	2.390872	0.133190	0.050251	3.051541	2.133742	0.058961	0.864166	0.517905	1.767426	0.484841	0.253238	2.758416	
14700000	-2189.600651	45	0.193655	0.130447	0.325039	0.247828	0.088208	0.119120	0.109724	0.045742	0.250000	0.250000	0.250000	0.250000	9.570418	0.017285	0.272878	8.685394	2.390872	0.133190	0.050251	3.051541	2.133742	0.058961	0.864166	0.517905	1.767426	0.484841	0.253238	2.758416	
14730000	-2187.534562	45	0.171354	0.131503	0.260881	0.307895	0.097252	0.136940	0.125608	0.071915	0.250000	0.250000	0.250000	0.250000	9.570418	0.017285	0.272878	8.685394	2.390872	0.133190	0.050251	3.051541	2.133742	0.058961	0.864166	0.517905	1.767426	0.484841	0.253238	2.758416	
14760000	-2187.838357	45	0.163654	0.125847	0.248880	0.310353	0.110326	0.137789	0.120105	0.072458	0.250000	0.250000	0.250000	0.250000	7.378713	0.021773	0.227475	8.928839	1.074347	0.309233	0.761628	0.316866	3.425098	0.079068	1.105898	1.260645	0.624408	0.148019	0.671350	1.278588	
14790000	-2190.196995	45	0.177744	0.135357	0.335570	0.417433	0.079096	0.131049	0.145853	0.053110	0.250000	0.250000	0.250000	0.250000	0.204075	0.635841	0.518793	3.747300	4.145591	0.144532	0.218366	4.714967	0.606772	5.907478	1.062653	2.299560	0.973283	6.092097	0.480754	0.870644	
14820000	-2189.671962	45	0.191886	0.116588	0.284661	0.306004	0.101611	0.112225	0.112523	0.071979	0.250000	0.250000	0.250000	0.250000	0.708629	3.703121	0.294455	9.906079	0.058277	7.322337	1.310451	2.713693	0.633223	1.998656	1.308789	0.623229	0.473282	7.762061	1.008340	4.540519	
14850000	-2187.626985	45	0.175048	0.156649	0.320288	0.268711	0.106127	0.154923	0.127617	0.058152	0.250000	0.250000	0.250000	0.250000	1.169515	0.658366	1.281699	0.848161	0.583066	6.472014	0.292487	1.527413	0.468415	4.828437	2.252596	0.274621	0.937690	0.580768	0.335955	3.371117	
14880000	-2190.240174	45	0.176047	0.168022	0.338956	0.273277	0.103064	0.182134	0.128623	0.068300	0.250000	0.250000	0.250000	0.250000	3.780361	0.200158	0.227686	0.447180	4.143823	0.133050	2.248366	0.983413	0.513822	9.612762	1.466342	0.364604	5.875564	0.073263	0.278148	0.906308	
14910000	-2191.357567	45	0.221883	0.159896	0.382266	0.352227	0.116654	0.141599	0.147055	0.070434	0.250000	0.250000	0.250000	0.250000	7.521337	0.022556	0.149506	1.570881	0.646770	0.323048	1.214404	1.257140	0.444527	1.026937	1.494009	0.722279	0.580245	0.790439	0.700993	4.960473	
14940000	-2191.738319	45	0.241735	0.122921	0.389078	0.276488	0.113036	0.112558	0.104510	0.057972	0.250000	0.250000	0.250000	0.250000	5.986770	0.086488	0.243894	0.283425	1.279274	1.124584	2.187837	0.400574	1.318651	1.208499	0.195114	2.717411	0.937657	0.979824	0.264938	2.765648	
14970000	-2190.321411	45	0.194917	0.132724	0.348375	0.277613	0.097856	0.156781	0.096968	0.068290	0.250000	0.250000	0.250000	0.250000	0.520083	3.470941	0.485447	3.890712	2.731986	0.287523	0.167910	4.753945	0.173477	8.129124	0.953367	0.286837	1.111696	2.073378	0.151221	3.138743	
15000000	-2188.815930	45	0.154629	0.136234	0.257622	0.357275	0.095371	0.142829	0.139089	0.048487	0.250000	0.250000	0.250000	0.250000	0.130610	5.617622	0.547489	1.626965	1.681273	0.813514	1.889048	1.009543	0.380596	0.346270	4.625235	0.043725	0.499990	1.289878	2.857185	0.031768	
15030000	-2192.600906	45	0.244657	0.158172	0.366970	0.300569	0.117112	0.129013	0.138916	0.043900	0.250000	0.250000	0.250000	0.250000	1.369693	4.377234	0.304598	2.616740	0.600758	5.198443	0.995005	0.763151	0.211283	8.346260	1.131256	5.965053	0.405898	3.202756	0.596587	0.077257	
